year,timestamp,courseenrolled,motivation_required,motivation_current,motivation_advancement,motivation_careerchange,motivation_profdev,motivation_jobdisplace,motivation_relocation,motivation_indcert,motivation_financial,motivation_enrichment,motivation_curiosity,participate_openhouse,participate_instdecday,participate_oncampusinfosess,participate_titanstue,participate_womenwhodare,participate_regcollegefair,impactenr_mshscompclass,impactenr_mshscompclub,impactenr_competitions,impactenr_afterschoolprog,impactenr_summerprog,impactenr_apclass,impactenr_dualenrollclass,impactenr_familyfriend,impactenr_familyfriendinfield,impactenr_hscounslor,impactenr_employer,hear_ccmwebsite,hear_billboard,hear_tv,hear_radio,hear_socmedia,hear_communityevent,hear_familyfriend,hear_employer,hear_ccmstudent,hear_ccmalumni,hear_hs,impactatt_affordable,impactatt_locconvenience,impactatt_progchoice,impactatt_onlineoff,impactatt_familyfriend,impactatt_facultystaff,impactatt_reputation,impactatt_scholarships,impactatt_transferstud,impactatt_smallclass,impactatt_extracurricula,degreeenrolled,infosource_hscounselor,infosource_ccmwebsite,infosource_ccmadmissions,infosource_ccmcounselor,infosource_employer,infosource_other,interest,interest_webdev,interest_cybersec,interest_appdev,interest_dataanalytics,interest_mlai,interest_compprog,interest_gamedes,interest_hardware,gender,race_ethnicity,age
2024,2024-09-10 10:47:35-05:00,CMP 126 Computer Technology and Applications,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No Impact,No Impact,High Impact,,,,,Some Impact,,High Impact,,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,High Impact,High Impact,No Impact,No Impact,Humanities and Social Sciences (Liberal Arts & Sciences),Yes,Yes,Yes,Yes,No,Don't recall,2.0,Yes,Yes,No,No,No,No,No,No,Prefer not to say,Hispanic or Latino;Black/African American;White/Caucasian;Multi-Racial,19-20
2024,2024-09-10 11:00:05-05:00,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,,High Impact,High Impact,Other,No,No,No,No,No,No,3.0,No,Yes,Yes,Yes,Yes,Yes,No,No,Woman,Hispanic or Latino,19-20
2024,2024-09-10 11:02:51-05:00,CMP 126 Computer Technology and Applications,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,,No Impact,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,No Impact,No Impact,Broadcasting Arts and Technology,Yes,Don't recall,Don't recall,Don't recall,Don't recall,Don't recall,5.0,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Man,Choose not to reply,18 and younger
2024,2024-09-10 11:05:25-05:00,CMP 126 Computer Technology and Applications,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Some Impact,High Impact,Some Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Other,No,No,Don't recall,No,Yes,No,3.0,No,No,No,Yes,No,No,Yes,No,Man,Hispanic or Latino,19-20
2024,2024-09-10 20:37:36-05:00,CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,,,,,,Some Impact,,,Some Impact,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,High Impact,Journalism,No,No,Yes,Yes,Don't recall,Don't recall,3.0,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
2024,2024-09-10 21:29:27-05:00,CMP 101 Computer Information Literacy,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Some Impact,Some Impact,High Impact,High Impact,Some Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,Yes,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Some Impact,Some Impact,Some Impact,High Impact,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,Humanities and Social Sciences (Liberal Arts & Sciences),Yes,Yes,No,Yes,No,No,3.0,Yes,No,Yes,No,No,No,Yes,No,Woman,White/Caucasian,19-20
2024,2024-09-10 22:52:37-05:00,CMP 101 Computer Information Literacy,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Not Sure,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,Some Impact,Some Impact,High Impact,,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Early Childhood Education,No,No,No,No,No,Yes,3.0,No,No,No,No,No,No,Yes,No,Woman,Hispanic or Latino,19-20
2024,2024-09-11 10:54:10-05:00,CMP 101 Computer Information Literacy,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Some Impact,No Impact,High Impact,No Impact,High Impact,No Impact,Some Impact,No Impact,No Impact,High Impact,No Impact,Nursing,No,No,No,Yes,No,No,3.0,No,No,No,No,No,No,No,No,Woman,Hispanic or Latino;Black/African American,18 and younger
2024,2024-09-11 12:40:52-05:00,CMP 126 Computer Technology and Applications,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,High Impact,High Impact,High Impact,Some Impact,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,Humanities and Social Sciences (Liberal Arts & Sciences),No,No,No,Yes,No,No,2.0,No,No,No,Yes,No,No,No,Yes,Woman,White/Caucasian,19-20
2024,2024-09-11 19:06:45-05:00,CMP 101 Computer Information Literacy,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,No Impact,No Impact,Humanities and Social Sciences (Liberal Arts & Sciences),No,No,No,No,No,No,1.0,No,No,No,No,No,No,No,No,Woman,White/Caucasian,19-20
